Date;Power
2024-04-12 00:00:00;254.9999999999999
2024-04-12 00:01:00;255.0
2024-04-12 00:02:00;254.9999999999999
2024-04-12 00:03:00;255.0000000000001
2024-04-12 00:04:00;255.00000000000017
2024-04-12 00:05:00;255.0
2024-04-12 00:06:00;255.0000000000001
2024-04-12 00:07:00;255.0
2024-04-12 00:08:00;255.0
2024-04-12 00:09:00;255.00000000000009
2024-04-12 00:10:00;255.00000000000023
2024-04-12 00:11:00;255.0
2024-04-12 00:12:00;255.0
2024-04-12 00:13:00;254.99999999999997
2024-04-12 00:14:00;255.0
2024-04-12 00:15:00;255.0
2024-04-12 00:16:00;255.0
2024-04-12 00:17:00;255.0
2024-04-12 00:18:00;255.0
2024-04-12 00:19:00;255.0
2024-04-12 00:20:00;255.0
2024-04-12 00:21:00;255.0
2024-04-12 00:22:00;255.0
2024-04-12 00:23:00;255.0
2024-04-12 00:24:00;255.0
2024-04-12 00:25:00;255.0
2024-04-12 00:26:00;255.0
2024-04-12 00:27:00;255.0
2024-04-12 00:28:00;255.0
2024-04-12 00:29:00;255.0
2024-04-12 00:30:00;255.0
2024-04-12 00:31:00;255.0
2024-04-12 00:32:00;255.0
2024-04-12 00:33:00;255.0
2024-04-12 00:34:00;255.0
2024-04-12 00:35:00;255.0
2024-04-12 00:36:00;255.0
2024-04-12 00:37:00;255.0
2024-04-12 00:38:00;255.0
2024-04-12 00:39:00;255.0
2024-04-12 00:40:00;255.0
2024-04-12 00:41:00;255.0
2024-04-12 00:42:00;255.0
2024-04-12 00:43:00;254.99999999999997
2024-04-12 00:44:00;255.00000000000003
2024-04-12 00:45:00;255.00000000000009
2024-04-12 00:46:00;254.99999999999991
2024-04-12 00:47:00;254.99999999999997
2024-04-12 00:48:00;255.00000000000003
2024-04-12 00:49:00;255.0000000000001
2024-04-12 00:50:00;254.99999999999991
2024-04-12 00:51:00;254.99999999999997
2024-04-12 00:52:00;254.99999999999997
2024-04-12 00:53:00;255.0000000000001
2024-04-12 00:54:00;254.99999999999997
2024-04-12 00:55:00;255.00000000000009
2024-04-12 00:56:00;255.00000000000009
2024-04-12 00:57:00;255.00000000000003
2024-04-12 00:58:00;255.0
2024-04-12 00:59:00;255.00000000000003
2024-04-12 01:00:00;254.99999999999997
2024-04-12 01:01:00;255.00000000000003
2024-04-12 01:02:00;255.0
2024-04-12 01:03:00;255.0000000000001
2024-04-12 01:04:00;255.0
2024-04-12 01:05:00;255.0
2024-04-12 01:06:00;255.0
2024-04-12 01:07:00;255.0
2024-04-12 01:08:00;255.0
2024-04-12 01:09:00;255.0
2024-04-12 01:10:00;255.0
2024-04-12 01:11:00;255.0
2024-04-12 01:12:00;255.0
2024-04-12 01:13:00;255.0
2024-04-12 01:14:00;255.0
2024-04-12 01:15:00;255.0
2024-04-12 01:16:00;255.00000000000003
2024-04-12 01:17:00;254.99999999999991
2024-04-12 01:18:00;255.0
2024-04-12 01:19:00;255.00000000000003
2024-04-12 01:20:00;255.0
2024-04-12 01:21:00;254.99999999999997
2024-04-12 01:22:00;255.0
2024-04-12 01:23:00;255.0
2024-04-12 01:24:00;255.0
2024-04-12 01:25:00;255.00000000000003
2024-04-12 01:26:00;254.99999999999997
2024-04-12 01:27:00;255.0000000000001
2024-04-12 01:28:00;255.0
2024-04-12 01:29:00;255.0
2024-04-12 01:30:00;255.00000000000009
2024-04-12 01:31:00;255.0
2024-04-12 01:32:00;255.0
2024-04-12 01:33:00;255.0
2024-04-12 01:34:00;255.0
2024-04-12 01:35:00;255.0
2024-04-12 01:36:00;255.0
2024-04-12 01:37:00;255.0
2024-04-12 01:38:00;255.0
2024-04-12 01:39:00;255.0
2024-04-12 01:40:00;255.0
2024-04-12 01:41:00;255.0
2024-04-12 01:42:00;255.0
2024-04-12 01:43:00;255.0
2024-04-12 01:44:00;255.0
2024-04-12 01:45:00;255.0
2024-04-12 01:46:00;255.0
2024-04-12 01:47:00;254.99999999999997
2024-04-12 01:48:00;255.0
2024-04-12 01:49:00;255.0
2024-04-12 01:50:00;255.00000000000009
2024-04-12 01:51:00;255.0
2024-04-12 01:52:00;255.0
2024-04-12 01:53:00;255.0
2024-04-12 01:54:00;255.0
2024-04-12 01:55:00;255.0
2024-04-12 01:56:00;255.0
2024-04-12 01:57:00;255.00000000000009
2024-04-12 01:58:00;254.99999999999991
2024-04-12 01:59:00;255.0
2024-04-12 02:00:00;255.0
2024-04-12 02:01:00;255.0
2024-04-12 02:02:00;255.0
2024-04-12 02:03:00;255.0
2024-04-12 02:04:00;255.0
2024-04-12 02:05:00;255.00000000000009
2024-04-12 02:06:00;255.00000000000009
2024-04-12 02:07:00;255.00000000000009
2024-04-12 02:08:00;255.0
2024-04-12 02:09:00;255.00000000000009
2024-04-12 02:10:00;255.0
2024-04-12 02:11:00;254.99999999999997
2024-04-12 02:12:00;255.00000000000003
